report_year,state,city_town,so2_annual_avg,no2_annual_avg,pm10_annual_avg,pm25_annual_avg
2023,Tamilnadu,Gummidipoondi,11,10,119,60
2023,Tamilnadu,Hosur,17,10,77,40
2023,Tamilnadu,Kanchipuram,10,4,51,25
2023,Tamilnadu,Mettur,8,21,43,20
2023,Tamilnadu,Nagercoil,11,15,55,20
2023,Tamilnadu,Ooty,29,9,55,28
2023,Tamilnadu,Palkalaiperur,37,3,37,18
2023,Tamilnadu,Perambalur,10,14,34,13
2023,Tamilnadu,Ramanathapuram,9,3,43,17
2023,Tamilnadu,Sivagangai,15,19,51,27
2023,Tamilnadu,Theni,12,17,54,23
2023,Tamilnadu,Tirupur,19,18,59,
2023,Tamilnadu,Tiruvannamalai,7,14,51,21
2023,Tamilnadu,Tiruvarur,14,16,42,16
2023,Tamilnadu,Trichy,11,15,45,19
2023,Tamilnadu,Tuticorin,9,14,56,16
2023,Tamilnadu,Vellore,22,10,76,41
2023,Tamilnadu,Villupuram,14,16,43,18
2023,Telangana,Choutupal,18,36,89,
2023,Telangana,Hyderabad,8,16,86,38
2023,Telangana,Khammam,,31,76,
2023,Tripura,Agartala,28,12,117,76
2023,Uttar Pradesh,Agra,9,,112,57
2023,Uttar Pradesh,Aligarh,,24,,
2023,Uttar Pradesh,Allahabad,21,17,123,42
2023,Uttar Pradesh,Anpara,18,,165,
2023,Uttar Pradesh,Ayodhya,,22,,
2023,Uttar Pradesh,Baghpat,19,29,160,79
2023,Uttar Pradesh,Bareilly,21,25,85,35
2023,Uttar Pradesh,Bulandshahr,15,34,132,58
2023,Uttar Pradesh,Firozabad,12,22,109,39
2023,Uttar Pradesh,Gajroula,22,23,170,
2023,Uttar Pradesh,Ghaziabad,14,46,176,72
2023,Uttar Pradesh,Gorakhpur,37,5,115,48
2023,Uttar Pradesh,Greater Noida,13,50,228,88
2023,Uttar Pradesh,Hapur,23,27,127,63
2023,Uttar Pradesh,Jhansi,22,21,99,37
2023,Uttar Pradesh,Kanpur,13,42,128,49
2023,Uttar Pradesh,Khurja,36,23,118,59
2023,Uttar Pradesh,Mathura,12,28,168,
2023,Uttar Pradesh,Meerut,11,32,166,81
2023,Uttar Pradesh,Moradabad,20,16,111,50
2023,Uttar Pradesh,Muzaffarnagar,16,29,159,83
2023,Uttar Pradesh,Noida,16,53,183,81
2023,Uttar Pradesh,Raibareli,6,12,93,
2023,Uttar Pradesh,Unnao,7,26,118,
2023,Uttar Pradesh,Varanasi,22,19,79,27
2023,Uttar Pradesh,Vrindavan,28,5,120,34
2023,Uttarakhand,Dehradun,5,7,105,48
2023,Uttarakhand,Kashipur,6,23,97,40
2023,Uttarakhand,Rishikesh,8,11,77,37
